,id,comment,time,corrected_comment,nouns,time_minutes
2063,어이없어웃고산다,"5622명 시청중 ,,,미쳤다...식스맨님은 왜 토트넘만 중계해요? 나폴리는 안해요?",2023-02-06 02:23:17,5622명 시청 중 미쳤다 식스맨님은 왜 토트넘만 중계해요 나폴리는 안 해요,"['명', '시청', '중', '식스', '맨', '왜', '토트넘', '중계', '나폴리', '안', '해']",70.8
2064,엠마,안녕하세요^^,2023-02-06 02:23:19,안녕하세요,[],70.833
2065,겨루,누구골인가요,2023-02-06 02:23:20,누구 골인 가요,"['누구', '골인', '가요']",70.85
2066,심적송,오시멘 케인보다 낫더구먼,2023-02-06 02:23:22,오멘 케인보다 낫더구먼,"['오멘', '케인']",70.883
2067,Namju Hazelton,오늘 2:1 예상합니다,2023-02-06 02:23:28,오늘 21 예상합니다,"['오늘', '예상']",70.983
2068,s tilla,케인이낫지,2023-02-06 02:23:29,케인이 낫지,"['케인', '낫']",71.0
2069,새벽,6맨님 혹시 영국 가보셧나여??,2023-02-06 02:23:28,6맨님 혹시 영국 가보셨나요,"['맨', '혹시', '영국']",70.983
2070,박성민,밀란더비는 어디가 이길것 같나요?,2023-02-06 02:23:28,밀란 더비는 어디가 이길 것 같나요,"['밀란', '더비', '어디가', '것']",70.983
2071,우마.,케인골,2023-02-06 02:23:31,키인 골,"['키', '골']",71.033
2072,계란말이,오늘 나폴리 어땠어요?,2023-02-06 02:23:32,오늘 나폴리 어땠어요,"['오늘', '나폴리']",71.05
2073,BAN Playlist,안녕하세요!,2023-02-06 02:23:33,안녕하세요,[],71.067
2074,전정희,페리 고집하는 콘테 대단하다,2023-02-06 02:23:33,페리 고집하는 콩테 대단하다,"['페리', '고집', '콩테']",71.067
2075,PSBimagineX2t,나폴리 썸네일이라 저도 늦게 들어옴,2023-02-06 02:23:47,나폴리 섬네일이라 저도 늦게 들어옴,"['나폴리', '섬네일', '저']",71.3
2076,봉남봉남,챔스준우승헷을때 레비가천억만더썻으면 우승헷을텐데 ㅠㅠ,2023-02-06 02:23:48,챔스 준우승 헷을 때 레비가 천억만 더 썼으면 우승 헷을 텐데 ,"['챔스', '준우승', '헷', '때', '레비', '천억만', '더', '우승', '헷']",71.317
2077,1규영.,손흥민 패스가 안오는 느낌..,2023-02-06 02:23:52,손흥민 패스가 안 오는 느낌,"['손흥민', '패스', '안', '느낌']",71.383
2078,라구요,나폴리에 대한 의심은 할필요가 ㅎㅎ,2023-02-06 02:23:55,나폴리에 대한 의심은 할 필요가 ,"['나폴리', '대한', '의심', '필요']",71.433
2079,Heekyu Jayden Kang,오늘 패리시치 전나 못하더만,2023-02-06 02:23:57,오늘 패리시치 전나 못하더구먼,"['오늘', '패리시', '치', '전']",71.467
2080,얼굴은 원빈,페르카나 공격시 쏜이랑 동선 또겹치네 노답이다 지가 스트라이커인줄암 골 욕심 쩜,2023-02-06 02:24:02,페르 카나 공격 시 쏜 이랑 동선 또 겹치네 노 답이다 자기가 스트라이커인 줄 암 골 욕심 쩜,"['페르', '카나', '공격', '시', '동선', '또', '겹', '노', '답', '자기', '스트라이커', '줄', '암', '골', '욕심', '쩜']",71.55
2081,강민수,끝났나요?,2023-02-06 02:24:02,끝났나요,[],71.55
2082,jeong cheon her,모우라 어디 갔나요 ?,2023-02-06 02:24:04,모우라 어디 갔나요 ,"['모우', '어디']",71.583
2083,박진호,오늘 토트넘만 이기면 코리안 리그 전승 이네요...^^,2023-02-06 02:24:06,오늘 토트넘만 이기면 코리안 리그 전승이네요,"['오늘', '토트넘', '이기', '코리안', '리그', '전승', '요']",71.617
2084,별그림,페리빼면 손흥민 멀티골:grinning_face::grinning_face_with_big_eyes::grinning_face_with_smiling_eyes:,2023-02-06 02:24:06,페리 빼면 손흥민 멀티골 grinningfacegrinningfacewithbigeyesgrinningfacewithsmilingeyes,"['페리', '손흥민', '멀티골']",71.617
2085,김마야📣,대장님 나폴리로 되어 있어요~~~~,2023-02-06 02:24:08,대장님 나폴리로 되어 있어요,"['대장님', '나폴리']",71.65
2086,young park,쉬는시간에 좋아요 한번씩 누르는건 어떤지...,2023-02-06 02:24:11,쉬는 시간에 좋아요 한 번씩 누르는 건 어떤지,"['시간', '번', '건']",71.7
2087,Jumanji,손흥민 워낙 마크가 심해서리,2023-02-06 02:24:12,손흥민 워낙 마크가 심해서리,"['손흥민', '워낙', '마크']",71.717
2088,슈파멩,쏘니,2023-02-06 02:24:13,쏘니,[],71.733
2089,Robert Jung,바뀌어 있어요,2023-02-06 02:24:13,바뀌어 있어요,[],71.733
2090,김기훈,저두,2023-02-06 02:24:14,저두,['저'],71.75
2091,He Jc,오늘 쏜 골 가능한 분위기인가요?,2023-02-06 02:24:16,오늘 쏜 골 가능한 분위기인가요,"['오늘', '골', '분위기']",71.783
2092,내가사는이유,식스맨 최고 유튜브 중계^^,2023-02-06 02:24:16,식스맨 최고 유튜브 중계,"['식스', '맨', '최고', '유튜브', '중계']",71.783
2093,어이없어웃고산다,"식스맨님 좀만 더 열심히 하면 구독자 10만 될텐데, 본업에 충실하신 선생님이라서 그러신가요",2023-02-06 02:24:19,식스맨님 좀만 더 열심히 하면 구독자 10만 될 텐데 본업에 충실하신 선생님이라서 그러신가요,"['식스', '맨', '좀', '더', '독자', '본업', '선생님', '러신', '가요']",71.833
2094,박영희,우리 다른생각 하지말고 쏜 골기다립니다,2023-02-06 02:24:20,우리 다른 생각 하지 말고 쏜 골 기다립니다,"['우리', '다른', '생각', '골']",71.85
2095,jackson,난 두개 다 뜨는데,2023-02-06 02:24:23,난 두 개 다 뜨는데,"['난', '두', '개']",71.9
2096,제노,나갔다가 들어오세요,2023-02-06 02:24:24,나갔다가 들어오세요,[],71.917
2097,치익쇼,페리시치 그냥 있는 자체가 싫네..,2023-02-06 02:24:26,페리시치 그냥 있는 자체가 싫네,"['페리', '치', '그냥', '자체']",71.95
2098,Heekyu Jayden Kang,마크없어도 패스를 못함.,2023-02-06 02:24:29,마크 없어도 패스를 못함,"['마크', '패스']",72.0
2099,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 02:24:30,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",72.017
2100,샤이닝 세라핀,유튜브에서 반영되는 시간이 좀 있어서 아직 안 바뀐 걸로 노출될 가능성도 있어요,2023-02-06 02:24:30,유튜브에서 반영되는 시간이 좀 있어서 아직 안 바뀐 걸로 노출될 가능성도 있어요,"['유튜브', '반영', '시간', '좀', '안', '걸', '노출', '가능성']",72.017
2101,심적송,맞어 흥민이에게 패스 안감,2023-02-06 02:24:30,맞아 흥민이에게 패스 안감,"['흥민', '패스', '안감']",72.017
2102,kim 지민,모우라 훈련하고 있어요..토트넘에서,2023-02-06 02:24:30,모우라 훈련하고 있어요 토트넘에서,"['모우', '훈련', '토트넘']",72.017
2103,청명하늘,레비가 쏘니 팔고 그돈으로 어느 공격수를 사올수 있을거라 레비가 판다 그러는지,2023-02-06 02:24:31,레비가 쏘니 팔고 그 돈으로 어느 공격수를 사 올 수 있을 거라 레비가 판다 그러는지,"['레비', '팔고', '그', '돈', '공격수', '사', '수', '거', '레비', '판다']",72.033
2104,김병호,나폴리전으로 나와요,2023-02-06 02:24:32,나폴리전으로 나와요,"['나폴리', '전']",72.05
2105,Gregs,나갔다오면 토트넘 맨시티로 나오네요,2023-02-06 02:24:38,나갔다 오면 토트넘 맨시티로 나오네요,"['토트넘', '맨시티']",72.15
2106,JK💜,썸네일 나폴리에요,2023-02-06 02:24:38,섬네일 나폴리에요,"['섬네일', '나폴리']",72.15
2107,라구요,제가 자주가는 가게도 이름이 육대장........ 식스맨대장 가즈아,2023-02-06 02:24:38,제가 자주 가는 가게도 이름이 육 대장 식스맨 대장 가즈아,"['제', '자주', '가게', '이름', '육', '대장', '식스', '맨', '대장', '가즈']",72.15
2108,드ᄉᄒᄎ,아 흥민이한테패스좀 줬으면좋겟어요ㅜ,2023-02-06 02:24:41,아 흥민이한테 패스 좀 줬으면 좋겠어요,"['흥민', '패스', '좀']",72.2
2109,우마.,:cat-orange-whistling::glasses-purple-yellow-diamond:,2023-02-06 02:24:42,catorangewhistlingglassespurpleyellowdiamond,[],72.217
2110,롱찌,난 축구알람 떠서 식스맨님 찾아온건뎅,2023-02-06 02:24:43,난 축구 알람 떠서 식스맨님 찾아온 건데,"['난', '축구', '알람', '식스', '맨']",72.233
2111,박성민,일단 나폴리는 이길테니깐 토트넘이 맨시티 꼭 잡았으면 좋겠네요!,2023-02-06 02:24:44,일단 나폴리는 이길 테니깐 토트넘이 맨시티 꼭 잡았으면 좋겠네요,"['일단', '나폴리', '테', '토트넘', '맨시티', '꼭']",72.25
2112,paul yanni,김민재는 평점이 항상 높네요,2023-02-06 02:24:44,김민재는 평점이 항상 높네요,"['김민재', '평점', '항상']",72.25
2113,유정숙,후반엔 쏜케 합작품 기대해보자구요,2023-02-06 02:24:46,후반엔 쏜 게 합작품 기대해 보자고요,"['후반', '게', '합', '작품']",72.283
2114,봉남봉남,후반에 멘시티 1선들 다나올듯 ㄷㄷㄷㄷㄷㄷ,2023-02-06 02:24:48,후반에 맨시티 1선들 다 나올 듯 ,"['후반', '맨시티', '선', '듯']",72.317
2115,Heekyu Jayden Kang,위피선정 오늘 잘하는데 패스를 못함.,2023-02-06 02:24:49,위피 선정 오늘 잘하는데 패스를 못함,"['위피', '선정', '오늘', '패스']",72.333
2116,김마야📣,:yt:구독 :thumbs_up:좋아요 클릭클릭:folded_hands:,2023-02-06 02:24:50,yt 구독 thumbsup 좋아요 클릭클릭 foldedhands,"['구독', '클릭', '클릭']",72.35
2117,Finn Mac,중계너무 좋네요,2023-02-06 02:24:52,중계 너무 좋네요,['중계'],72.383
2118,프랑스위스 표류기,해외인데 경기 볼슈 있는 링크 없을까용,2023-02-06 02:24:53,해외인데 경기 볼 슈 있는 링크 없을까요,"['해외', '경기', '볼', '슈', '링크']",72.4
2119,김달현,요즘 축구재미있어요 마요르카가 레알을이기고 아스날도 에버튼한테지고,2023-02-06 02:24:54,요즘 축구 재미있어요 마요르카가 레알을 이기고 아스널도 에버튼한테 지고,"['요즘', '축구', '마요르카', '레알', '이기', '아스널', '에버튼', '지고']",72.417
2120,우마.,:face-purple-wide-eyes:,2023-02-06 02:24:55,facepurplewideeyes,[],72.433
2121,서경원,쏘니 홧팅:thumbs_up::thumbs_up:,2023-02-06 02:24:57,쏘니 파이팅 thumbsupthumbsup,['파이팅'],72.467
