,id,comment,time,corrected_comment,nouns,time_minutes
1906,손이김,셉셉이도 폼 죽은지 오래됐음,2023-02-20 02:24:49,셉셉이도 폼 죽은 지 오래됐음,['폼'],107.383
1907,Gold Rose,에릭센 영입 안한게 한입니다 ㅎ,2023-02-20 02:24:49,에릭센 영입 안 한 게 한입니다 ,"['에릭', '입', '안', '게']",107.383
1908,황박연,ㅎㅎㅎㅎㅎㅎㅎ,2023-02-20 02:24:49,,[],107.383
1909,웃으면 뎀벨레,데니잉스 후반 캐리할듯,2023-02-20 02:24:53,데니 잉스 후반 캐리 할 듯,"['데니', '잉스', '후반', '캐리', '듯']",107.45
1910,soulmate,소니가 오늘 득점 하겠죠?,2023-02-20 02:24:58,소니가 오늘 득점하겠죠,"['소니', '오늘', '득점']",107.533
1911,tundra tiger,히샬이 월드컵에서 활약한거 보면 히샬은 크로스 전술이 안맞는듯,2023-02-20 02:24:59,히설이 월드컵에서 활약한 거 보면 히설은 크로스 전술이 안 맞는 듯,"['설', '월드컵', '활약', '거', '크로스', '전술', '안', '듯']",107.55
1912,박순복,서햄~ 셉셉이가 넘 살이빠져 아퍼보임 좀 쉬여 셉셉이 훈련량이 많나벼,2023-02-20 02:25:04,서해 셉셉이가 너무 살이 빠져 아파 보임 좀 쉬여 셉셉이 훈련량이 많나 벼,"['서해', '살이', '보임', '좀', '쉬', '훈련량', '벼']",107.633
1913,anonymous,5년후에 개를 팔어,2023-02-20 02:25:05,5년 후에 개를 팔어,"['후', '개']",107.65
1914,jackson,소니 이른 시간 교체 예상됩니다,2023-02-20 02:25:05,소니 이른 시간 교체 예상됩니다,"['소니', '시간', '교체', '예상']",107.65
1915,황박연,레스는 제머리 못깍아요^^*,2023-02-20 02:25:05,레스는 제 머리 못 깎아요,"['레스', '제', '머리', '못']",107.65
1916,WhySoSerious?,아직도 개테크를 하는 사람이 있나?,2023-02-20 02:25:07,아직도 대 테크를 하는 사람이 있나,"['테크', '사람']",107.683
1917,숫돌,"분데스리가, 리그앙은 꽁짜로 보는데 스포티비는 머하러 돈주고 보냐",2023-02-20 02:25:07,분데스리가 리그앙은 공짜로 보는데 스포티비는 머 하러 돈 주고 보냐,"['분데스리가', '리그앙', '공짜', '스포', '티비', '머', '돈']",107.683
1918,Twin House,콘테는 손을 이미 버린 듯...,2023-02-20 02:25:10,콩테는 손을 이미 버린 듯,"['콩테', '손', '듯']",107.733
1919,차묵남,태국에서 응원합니다~^^,2023-02-20 02:25:12,태국에서 응원합니다,"['태국', '응원']",107.767
