102,반짝이파는 언냐,반갑습니다~~\,2023-03-28 19:54:12
103,다둥이엄마,미래에서 왔습니다. 오늘 1대2로 패 합니다,2023-03-28 19:54:13
104,황박연,네네~~~~~~^^*,2023-03-28 19:54:14
105,ai,조현우?,2023-03-28 19:54:17
106,유정숙,유미님~~~~~~^^,2023-03-28 19:54:18
107,Kim Acupuncture,와우 오늘 선발라인업 좋네요.,2023-03-28 19:54:19
108,중앙우리분당가정예베,방,2023-03-28 19:54:22
109,원금주,황박연님서유미님 유정숙님 지민님 반가워요,2023-03-28 19:54:23
110,황박연,울 비너스님 어디?????????????????,2023-03-28 19:54:26
111,서유미,원금주님 어서오세요,2023-03-28 19:54:36
112,색소폰과함께(제천),지민님☆박연님☆금주님☆,2023-03-28 19:54:36
113,삼디 나라 YOUTUBE / 카드만드는 삼디,안녕하세여,2023-03-28 19:54:39
114,서유미,정숙님 반갑습니다,2023-03-28 19:54:45
115,황박연,울 금주형 오늘 더욱 예쁘넹^^*,2023-03-28 19:54:49
116,Ben Ki Beom Lee 이기범,안녕하세요 호주 이기범입니다,2023-03-28 19:54:50
117,윤광섭,오늘도 수고하네요.파이팅,2023-03-28 19:54:50
118,Erzsébet Bakonyi,"Fighting Korea! Guys, stay strong and healthy:heart_exclamation::fire::flexed_biceps:",2023-03-28 19:54:52
119,서유미,색소폰님 어서오세요,2023-03-28 19:54:54
120,Kim Acupuncture,황의조만 열심히하면 결과 좋을듯하네요.,2023-03-28 19:54:57
121,일상이 일탈,안녕하세요 식스맨 님 오늘도 유쾌 상쾌 통쾌한 해설 부탁드립니다 ^^,2023-03-28 19:55:03
122,우영권,반갑습니다~^^,2023-03-28 19:55:04
123,이용수,화이팅하세요 화이팅하세요,2023-03-28 19:55:05
124,장현호,카라트때 무승부 였지만 이번엔 이기길.. 황의조 또 날려먹지 말길..,2023-03-28 19:55:08
125,서유미,현준님 어서오세요,2023-03-28 19:55:18
126,유정숙,일탈님~~~~~~^^,2023-03-28 19:55:19
127,김문희,안녕하세요~~,2023-03-28 19:55:22
128,황박연,울 일상님~~~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:55:26
129,서유미,영권님 어서오세요,2023-03-28 19:55:28
130,Namju Hazelton,안녕하세요! 오늘은 꼭 승리!,2023-03-28 19:55:29
131,식스맨TV축구해설,아키에이지워 오픈 이벤트 클릭시 식스맨TV채널의 응원이 됩니다! https://afreehp.kr/bc/U5qXmaaZx5akaw,2023-03-28 19:55:35
132,황박연,며느리는??????????,2023-03-28 19:55:36
133,최상환,식스멘님 안녕하세요 :thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::musical_notes:,2023-03-28 19:55:36
134,서유미,용수님 어서오세요,2023-03-28 19:55:40
135,일상이 일탈,김지민 님 원금주 님 황박연 님 유정숙 님 안녕하세요 ^^,2023-03-28 19:55:43
136,rimus P,안녕하세요~!,2023-03-28 19:55:57
137,한상희,오늘도 재미있는 해설 부탁드립니다. 감사합니다,2023-03-28 19:56:00
138,디딤돌,꿀성대. 식스맨님. 방갑습니다,2023-03-28 19:56:03
139,색소폰과함께(제천),마야님 비너스님 어디가셔써요ㅋㅋㅋ,2023-03-28 19:56:03
140,서유미,며느리 아직 안 왔어요,2023-03-28 19:56:06
141,원금주,색소폰님 일상이 일탈님 하이~,2023-03-28 19:56:06
142,일상이 일탈,서유미 님 비너스 님 수고 많으세요 ^^,2023-03-28 19:56:07
143,신유빈YFC,식스맨님 이것도 월드컵 처럼 날짜를 정해서 예선 본선처럼하나요?,2023-03-28 19:56:11
144,kim 지민,일상이일탈님:blue_heart::ok_hand:,2023-03-28 19:56:13
145,일상이 일탈,며느리 김마야 강퇴 ㅋ,2023-03-28 19:56:19
146,대장,안녕하세요 골기퍼 김병지입니다!,2023-03-28 19:56:20
147,홍진택,안녕하세요~~~,2023-03-28 19:56:22
148,귀동냥,지금 부터 근무시작이라 잘듣고있겠읍니다~,2023-03-28 19:56:23
149,Kim Acupuncture,여기는 미국 코첼라벨리 팜스프링입니다.방가방가요 식스맨님,2023-03-28 19:56:23
150,일상이 일탈,^^,2023-03-28 19:56:23
151,황박연,울 비너스님 감자공주님 어디로 도망?^^*,2023-03-28 19:56:30
152,서유미,일탈님 매느리 아직,2023-03-28 19:56:31
153,최두규,오늘경2대1로 승리하겠죠,2023-03-28 19:56:31
154,김마야📣,앙대여 ㅋㅋ,2023-03-28 19:56:33
155,최상환,서유미님 도안뇽하세요 :smiling_face_with_hearts:,2023-03-28 19:56:36
156,황박연,ㅎㅎㅎㅎㅎㅎㅎㅎ,2023-03-28 19:56:38
157,황박연,울 김마야님~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:56:44
158,식스맨TV축구해설,게임 아이템이 필요할때! 클릭시 식스맨TV채널의 응원이 됩니다! https://afreehp.kr/bc/U5qXmaaZx5akag,2023-03-28 19:56:46
159,황박연,양반 대긴 틀려써~~~~^^*,2023-03-28 19:56:51
160,최상환,마야님 도안뇽하세요 :smiling_face_with_hearts::musical_notes:,2023-03-28 19:56:53
161,일상이 일탈,ㅋ 김마야 며느님 언능 오셔 ㅋ,2023-03-28 19:56:53
162,색소폰과함께(제천),마야님 등장ㅎ,2023-03-28 19:56:57
163,김마야📣,방가방가요:heart_suit:~~~,2023-03-28 19:57:00
164,ㅂㄹㅅ,축구 중계 어디서 하나요?,2023-03-28 19:57:01
165,Venus,안녕하세요 :heart_suit:,2023-03-28 19:57:01
166,황동건,우루과이 전도 화이팅 손흥민 이강인 선발,2023-03-28 19:57:01
167,신유빈YFC,식스맨님 그럼 이 경기 하고 대한민국 안하나요?,2023-03-28 19:57:03
168,서유미,마야님 방가방가,2023-03-28 19:57:05
169,대장,반갑습니다,2023-03-28 19:57:06
170,슈발리에,"백승호 부상이라던데 대체 선수없죠,",2023-03-28 19:57:06
171,일상이 일탈,:red_heart:,2023-03-28 19:57:07
172,Venus,마야:heart_suit::heart_suit::heart_suit:,2023-03-28 19:57:09
173,황박연,울 비너스님~~~~~~~~~~~~~~~~~^^*,2023-03-28 19:57:10
174,윤덕원,화이팅입니다 무조건이기자,2023-03-28 19:57:11
175,김마야📣,비너쮸~:heart_suit:,2023-03-28 19:57:12
176,와쪄염,안녕하세요~와쪄염이 와쪄염~,2023-03-28 19:57:14
177,서유미,일탈님 매느리 왔어요,2023-03-28 19:57:14
178,대장,골기퍼 김병지입니다,2023-03-28 19:57:14
179,Venus,유미:heart_suit::heart_suit::heart_suit:,2023-03-28 19:57:15
180,색소폰과함께(제천),비너스님도 등장ㅎ,2023-03-28 19:57:18
181,황동건,tv조선19번,2023-03-28 19:57:19
182,황박연,둘다 양반 대긴 틀려써~~~~~~^^*,2023-03-28 19:57:20
183,샤프슈터,수아레즈 안보이는데,2023-03-28 19:57:28
184,일상이 일탈,네 서유미 님 ^^,2023-03-28 19:57:28
185,서유미,비너스님 방가방가요,2023-03-28 19:57:30
186,색소폰과함께(제천),ㅋㅋ,2023-03-28 19:57:30
187,황박연,호랭이인가? ㅎㅎㅎㅎ,2023-03-28 19:57:31
